LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2022-03-02 10:32:44,1900-01-00 00:00:00,,00:15:6D:9C:78:8F,-70,,0.000000,0.000000,0.000,0.000,Client
2022-03-02 10:32:45,1900-01-00 00:00:00,,00:15:6D:9C:78:8F,-74,,0.000000,0.000000,0.000,0.000,Client
2022-03-02 10:32:45,1900-01-00 00:00:00,,AE:3B:AD:7E:E6:D4,-68,,0.000000,0.000000,0.000,0.000,Client
2022-03-02 10:32:45,1900-01-00 00:00:00,,AE:3B:AD:7E:E6:D4,-70,,0.000000,0.000000,0.000,0.000,Client
2022-03-02 10:32:45,1900-01-00 00:00:00,,AE:3B:AD:7E:E6:D4,-68,,0.000000,0.000000,0.000,0.000,Client
2022-03-02 10:32:45,1900-01-00 00:00:00,,AE:3B:AD:7E:E6:D4,-74,,0.000000,0.000000,0.000,0.000,Client
2022-03-02 10:32:45,1900-01-00 00:00:00,,AE:3B:AD:7E:E6:D4,-74,,0.000000,0.000000,0.000,0.000,Client
2022-03-02 10:32:47,1900-01-00 00:00:00,,48:27:EA:92:02:1B,-70,,0.000000,0.000000,0.000,0.000,Client
2022-03-02 10:32:47,1900-01-00 00:00:00,,48:27:EA:92:02:1B,-70,,0.000000,0.000000,0.000,0.000,Client
2022-03-02 10:32:47,1900-01-00 00:00:00,,48:27:EA:92:02:1B,-64,,0.000000,0.000000,0.000,0.000,Client
2022-03-02 10:32:48,1900-01-00 00:00:00,,32:CB:3F:A7:4E:BB,-70,,0.000000,0.000000,0.000,0.000,Client
2022-03-02 10:32:48,1900-01-00 00:00:00,,5A:2F:F7:9B:38:1A,-82, ,0.000000,0.000000,0.000,0.000,AP
2022-03-02 10:32:48,1900-01-00 00:00:00,,88:DE:7C:AB:05:EF,-62, ,0.000000,0.000000,0.000,0.000,AP
2022-03-02 10:32:48,1900-01-00 00:00:00,Alejandro,88:DE:7C:AB:05:EF,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-03-02 10:32:48,1900-01-00 00:00:00,Alejandro,88:DE:7C:AB:05:EF,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-03-02 10:32:48,1900-01-00 00:00:00,,D8:FB:5E:53:58:31,-70, ,0.000000,0.000000,0.000,0.000,AP
2022-03-02 10:32:48,1900-01-00 00:00:00,,F8:08:4F:3D:44:3B,-62, ,0.000000,0.000000,0.000,0.000,AP
2022-03-02 10:32:48,1900-01-00 00:00:00,,60:02:92:6B:20:0A,-64, ,0.000000,0.000000,0.000,0.000,AP
2022-03-02 10:32:48,1900-01-00 00:00:00,Fibertel WiFi260 2.4GHz,F8:08:4F:3D:44:3B,-62, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-03-02 10:32:48,1900-01-00 00:00:00,,A4:08:F5:1B:88:3E,-70, ,0.000000,0.000000,0.000,0.000,AP
2022-03-02 10:32:48,1900-01-00 00:00:00,,A6:08:F5:1B:89:30,-70, ,0.000000,0.000000,0.000,0.000,AP
2022-03-02 10:32:48,1900-01-00 00:00:00,Telecentro-8838,A4:08:F5:1B:88:3E,-68, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
